index,windspeed
0,0.7906695307061535
1,1.120466412263709
2,1.836090049306541
3,1.3975972379937573
4,1.3567682825045273
5,1.0122657016322807
6,1.0124187520822978
7,1.4970813570125274
8,1.0583929828471896
9,0.8258347455848618
10,0.8912256652595294
11,1.2150277921455843
12,1.4596559947697845
13,1.7956352356990466
14,1.685056736106854
15,1.6247752424394717
16,1.7008904017269262
17,1.9676771474924384
18,1.55789097665094
19,2.175937250017407
20,2.4125329455488598
21,2.0878853206392827
22,1.902990644205317
23,1.9565798201870668
24,2.571740240884408
25,2.88515649965419
26,2.8623629334396212
27,2.712728478685417
28,3.002872111179299
29,4.260063010216355
30,3.9866731100408574
31,3.3442693473955964
32,2.731596164707528
33,2.491911575111229
34,2.6498688685463256
35,2.762272222673913
36,3.538415578620539
37,3.704184680925545
38,3.804358030448664
39,3.8297907264756614
40,3.897730960165722
41,4.640063939428964
42,4.801085966048418
43,4.402745094780919
44,4.9745663676473
45,5.027984060350431
46,4.667538525922827
47,4.686993170752317
48,4.6639246051917524
49,4.720172658200652
50,4.44470724472619
51,4.357346518201775
52,4.041253144885341
53,3.9794100058094934
54,3.9735579982981792
55,3.6125563147898507
56,4.010409962692717
57,3.720396596429983
58,4.6860483743134775
59,4.952453367735143
60,5.282115443903755
61,4.928021483735839
62,4.824521332116447
63,5.2946317367902935
64,5.19609421664671
65,5.300125356165092
66,5.46613089558616
67,5.286829671700372
68,4.8074790067159965
69,5.089997101239475
70,5.150670376713995
71,4.617816292493317
72,4.510174271960531
73,4.629367008516558
74,4.408718131437414
75,3.707367052718192
76,4.043714075011447
77,3.8953237869261446
78,3.585217645621935
79,3.5410375093992994
80,3.3254271366453634
81,3.4646774628950956
82,3.542417670279166
83,3.601856727545749
84,3.7698424792302117
85,3.8870442595109145
86,3.9073861055241323
87,3.472853690541928
88,3.351393903870044
89,3.4678589538494577
90,3.2985674835748457
91,3.2139207617299923
92,3.6921696083205564
93,4.084019993905417
94,3.921851305221853
95,3.5488087824975647
96,4.326617919765205
97,4.210176215958068
98,4.0947070594158355
99,4.9272899553077005
100,4.681148373460516
101,4.540938551279624
102,5.20629660095861
103,5.162361990560908
104,4.7446060630661435
105,4.620245446770159
106,4.417255740444784
107,4.804869036316524
108,4.6282946643811105
109,4.703726039420043
110,4.765389591390137
111,4.665222407538177
112,4.588800505302936
113,4.712057583848935
114,4.63019423519416
115,4.525606208546197
116,4.210166852814882
117,4.241576590429649
118,3.7959321425349466
119,3.9468610460207114
120,3.673949234339458
121,3.3637059323785232
122,3.0366058268707676
123,2.794410227553003
124,2.998709744131956
125,2.9222912106420478
126,2.6943842469896553
127,2.70391148380342
128,2.8235734134102097
129,2.823042956678945
130,2.793176765214145
131,2.8134552820343686
132,2.7305129380495226
133,2.871216528036761
134,2.3716890820734298
135,2.564772317624691
136,2.4937510901543787
137,2.8775302563805734
138,3.0286337892247115
139,3.155965833258489
140,3.0147811737862327
141,2.758563928204636
142,2.5020180023310106
143,2.4826514405510784
144,2.3532158116001165
145,2.302612649888228
146,2.5636438597228146
147,2.6506029199022603
148,2.59632929380471
149,3.0500640300845023
150,3.014804635647787
151,2.931363553331409
152,2.7731064872316846
153,3.010443820901094
154,3.087535848936304
155,3.0775413353005234
156,3.3285598095151716
157,3.2535246490042464
158,3.271357356002731
159,3.1896893203776577
160,2.987904958120896
161,2.9265539007656116
162,2.9377847906677723
163,2.9811058813138804
164,3.2265086242841954
165,3.507238624072402
166,2.8411137828820157
167,2.927402363473352
168,3.106037223519408
169,3.2121288604544365
170,3.199730267873402
171,2.907830913036685
172,2.5499958487689964
173,2.9175496233184477
174,3.0687167318663637
175,2.926533358725716
176,3.2965786405379682
177,3.5841780711644526
178,4.039210532073387
179,4.411484374935621
180,4.443867422578774
181,4.471108957327559
182,4.308327838283354
183,4.102330892106108
184,4.402674195978249
185,4.420467842886104
186,4.173166647215094
187,3.8562346999394848
