index,windspeed_m/s
0,4.684068912147584
1,5.063613570151465
2,4.795597698631991
3,4.861499026347707
4,4.355244373198198
5,4.5015721748864985
6,4.5925731460632555
7,4.731722496228472
8,4.930459295474535
9,5.216242044894851
10,5.235775367179303
11,5.165031995070931
12,4.930824639660813
13,5.110921875408797
14,4.876031466818997
15,4.722353835820766
16,4.584180477136803
17,4.485046419710821
18,4.21969299161432
19,4.055506076766672
20,3.970455349137287
21,4.000361082466015
22,4.0212515253721826
23,4.038884498482657
24,4.114684930156343
25,4.241332629454917
26,3.9863620774854414
27,3.834444699613298
28,3.8563680228298582
29,3.6595447958317635
30,3.5655697784210636
31,3.65607707490896
32,3.770259071052771
33,3.5590190232617736
34,3.2711622033769374
35,3.3484173914092974
36,3.8991633237385495
37,3.9824992715621335
38,3.3323457142572
39,2.8363946094657817
40,3.0753664986047444
41,2.6643250620165713
42,2.3325732933633696
43,2.4688516224038874
44,2.520318517136554
45,2.040163685817116
46,2.1819755014192825
47,2.366416608956902
48,2.7710909410446907
49,2.952382361493651
50,2.7797826748122625
51,2.4721505268373902
52,2.7472663005481035
53,2.9042422804818298
54,3.433730960634887
55,4.151032447240664
56,4.158701878495507
57,3.3521556055648256
58,2.8703106925313957
59,3.310912113576479
60,3.5810131689428
61,4.422150241449747
62,4.742074719060235
63,4.593557778921566
64,5.17388811424596
65,5.178348989140921
66,4.93208086556531
67,4.725902089193441
68,4.486026129950541
69,4.475655347304388
70,4.4569209607772295
71,4.392567621178235
72,4.264549866351476
73,4.221449530110316
74,4.021854762767596
75,4.337077818767385
76,4.391988699287569
77,4.3474715717209875
78,3.7559384589493967
79,3.20808496542615
80,3.7711949382166474
81,3.4117838860593483
82,3.3334008037954423
83,3.175704530386197
84,3.0628798046205548
85,4.343027914120423
86,3.940822143537528
87,4.30408645689862
88,4.462404537779532
89,4.845359432486278
90,4.86311195703334
91,4.942623911262863
92,4.9273310688298535
93,4.766102109004693
94,4.824979496895844
95,4.791041179746622
96,4.936421836977262
97,4.6807717997829865
98,4.856608246151625
99,4.552949322610578
100,4.5071154201042125
101,4.377976777123181
102,4.431505694355464
103,4.497702039956372
104,4.239011043638879
105,4.565683470849658
106,4.60928302523137
107,4.376726148188029
108,4.963174073482825
109,5.028068455270822
110,4.601119950187943
111,5.025919965931304
112,4.94347121122939
113,4.110437402420657
114,3.5652237324448968
115,3.941616944375574
116,4.603583501909801
117,4.802038742476699
118,5.014385716464584
119,4.786047734897186
120,4.737889422025471
121,4.694068229781424
122,4.9183075244553995
123,4.808772494639083
124,4.869872014235907
125,4.862858810389434
126,4.838627653835118
127,4.7839491080151735
128,4.993030635880175
129,4.93948735599473
130,4.859105420377755
131,4.612673759810933
132,4.641740990652269
133,4.813135769877774
134,5.068598900894556
135,4.940176699914594
136,5.004978187328709
137,5.004479294020273
138,4.670178366770241
139,4.740721663007598
140,4.560978585702233
141,4.626819706306907
142,4.45775166890046
143,4.6330914190127315
144,4.482783542374458
145,4.196833720754863
146,3.9688208846039084
147,3.8986553776462305
148,4.013445900604213
149,4.173103784600729
150,4.791941846205977
151,4.543840822631282
152,4.35750365757341
153,3.9402088657752583
154,3.641529207518076
155,3.6643941168252976
156,3.4489582437689545
157,3.7638219779300153
158,3.432627367511872
159,2.7805211556168703
160,2.1211488405092136
161,2.6928393143768607
162,3.1929675331092033
163,3.275957627310172
164,3.5907691399737374
165,2.912187728316626
166,3.471163753491901
167,4.04740983138757
168,3.87718088765269
169,3.5498056395444846
170,4.20967903939097
171,4.1277288066861475
172,3.8363394405880262
173,3.5117534253456526
174,3.641063275649055
175,3.7030574771346534
176,3.759308155972513
177,4.097138769565134
178,4.4828090575819814
179,4.109258244885873
180,3.909798291915755
181,4.004986813308487
182,3.8350612637889196
183,3.98906283708778
184,3.9117096900410027
185,4.292424387144228
186,4.026176096533934
187,4.604022796771897
188,3.274948446023752
189,3.8403401199374567
190,4.073313394523029
191,3.359092081850752
192,3.5345387449052
193,3.442573807149015
194,3.5660223256467916
195,3.42816000602766
196,3.2151026280953348
197,3.426920469222693
198,3.234622464669842
199,3.378715206156761
200,3.1175354488745066
201,3.148593331903459
202,3.1425404611378314
203,2.9145002744984327
204,3.208050491983665
205,3.202594174258283
206,3.3707392159432104
207,3.535348242722279
208,3.7570136193187733
209,4.269886730092806
210,4.436358313558646
211,4.447401309645911
212,3.9598805260195906
213,3.686209146758183
214,3.693072909584696
215,3.569763035204815
216,3.5479951032783807
217,3.4180314831771748
218,3.1047961384894904
219,3.009293617549789
220,3.1183631264519085
221,3.221256442742782
222,2.9417487655509884
223,3.2415853171392173
224,3.1832885176194607
225,2.839775246691042
226,3.049270200120755
227,2.88414770927912
228,2.9994747610978387
229,2.9536376572474534
230,2.67477256225518
231,2.1645218255986696
232,1.92540581536342
233,1.9783470230503601
234,2.0650311493714266
235,2.3098547327848116
236,2.4442616971199658
237,2.392917957864484
238,3.072528073107691
239,2.7440533246195455
240,2.9029712153939484
241,3.06070025779444
242,2.9448679043443753
243,3.842010918401076
244,3.3514809677682824
245,3.16505734032607
246,3.1556752832165844
247,3.2470940996585007
248,3.4424424861648792
249,3.5334442626860874
250,3.562704166816041
251,3.4032333296678257
252,3.0900775506249674
253,3.1984848640172996
254,3.30744273377994
255,3.1408500197197373
256,2.941953327578382
257,2.978088749056779
258,2.757918916169815
259,2.583475217841864
260,2.6788173618236955
261,2.678796517677017
262,2.6146664159829696
263,2.521220870530092
264,2.534724797242767
265,2.550851441612658
266,2.9052153273367582
267,2.604530677367544
268,2.9515622446667447
269,2.3943265600735435
270,2.425358421754719
271,2.68122009219508
272,2.5547044770033778
273,2.5145480997588754
274,2.382927699872833
275,2.4855219210405295
276,2.7387324868926246
277,2.4370101083544498
278,2.336704402618882
279,2.297334444401965
280,2.8597631094892675
281,2.507164993267746
282,2.3316194438610043
283,2.3870697031076222
284,2.2177647975195693
285,1.795601802154489
286,1.9847151961749647
287,1.9512145911116936
288,1.9017723949924248
289,1.5155213016879032
290,1.1600774980353987
291,1.6249002062153937
292,2.2795114187234065
293,2.0372412143526266
294,2.2988251158224418
295,2.359603251805126
296,2.6336000802889834
297,2.386957749913694
298,2.3732779377574955
299,1.93716925546775
300,2.211915799006252
301,2.3889363289489336
302,1.9263567882492758
303,1.9042910583725923
304,2.0280469433603354
305,1.856530951345881
306,1.7828735087054939
307,2.3555743206780995
308,2.30755804878609
309,2.5556756975670294
310,2.5573648390767434
311,2.3882726650382007
312,2.7023857596958214
313,2.598411726532021
314,2.558722180671436
315,2.310033874560245
316,2.1061059644830293
317,2.255707268737671
318,2.298197651531476
319,2.5136154066222485
320,2.8153161864554095
321,2.881873919321742
322,2.6886260547679637
323,2.465993003346121
324,2.41153969628831
325,2.4955751700448987
326,2.2823586977276102
327,1.9400080804941229
328,2.0873761716505923
329,2.0710039984851236
330,1.8005793773323238
331,1.7101579987035036
332,1.5406708105179374
333,1.537623666111643
334,1.6382884473551473
335,1.770859126785593
336,1.792587850394584
337,1.9118856813504226
338,1.7944131223903765
339,1.942389459209968
340,2.0750590240387456
341,2.422995420738507
342,2.0887409625451614
343,2.0170678769439254
344,2.61135187782566
345,2.4448194623272475
346,2.2289737538648873
347,2.4006009959353753
348,2.284863268725003
349,2.130040682224007
350,2.0887342855125874
351,2.027942705648521
352,2.058391216375974
353,2.1128501502930623
354,1.9802235568247286
355,1.9814012205386307
356,1.9192367187232426
357,1.8822912728644237
358,1.7609931435530395
359,2.335085478662413
360,2.07635325690574
361,2.1457917562245883
362,2.3498583366202714
363,2.57359624110944
364,2.783655759999066
365,3.531329524536666
366,4.019575164888076
367,4.029727829178523
368,3.594748556692705
369,3.7048541455882105
370,3.221909042516516
371,2.573080660253288
372,3.3873401702663477
373,5.281950683021907
374,4.487637403981405
375,4.025688016209086
376,3.546351991457627
377,4.242917896097836
378,4.170900146706158
379,3.2299629129120135
380,1.396949264606221
381,1.85573400455787
382,2.7902597292278615
383,4.62508240070769
384,4.074646446545189
385,3.2839532790671235
386,3.344479598831828
387,4.443626187836035
388,3.9663874956073135
389,3.8713051480125245
390,3.7564196623056634
391,4.214575903651506
392,3.7497463938742204
