index,windspeed_m/s
0,2.778519204663185
1,2.2016477175304203
2,1.9156723872975523
3,2.3596055694066767
4,2.5368780703891844
5,2.760275934165164
6,2.5065618386911632
7,2.596462527972955
8,3.0523341099572954
9,3.5159948212397154
10,3.6200723024143664
11,4.2650829720506875
12,4.521287939978757
13,4.684068912147584
14,5.063613570151465
15,4.795597698631991
16,4.861499026347707
17,4.355244373198198
18,4.5015721748864985
19,4.5925731460632555
20,4.731722496228472
21,4.930459295474535
22,5.216242044894851
23,5.235775367179303
24,5.165031995070931
25,4.930824639660813
26,5.110921875408797
27,4.876031466818997
28,4.722353835820766
29,4.584180477136803
30,4.485046419710821
31,4.21969299161432
32,4.055506076766672
33,3.970455349137287
34,4.000361082466015
35,4.0212515253721826
36,4.038884498482657
37,4.114684930156343
38,4.241332629454917
39,3.9863620774854414
40,3.834444699613298
41,3.8563680228298582
42,3.6595447958317635
43,3.5655697784210636
44,3.65607707490896
45,3.770259071052771
46,3.5590190232617736
47,3.2711622033769374
48,3.3484173914092974
49,3.8991633237385495
50,3.9824992715621335
51,3.3323457142572
52,2.8363946094657817
53,3.0753664986047444
54,2.6643250620165713
55,2.3325732933633696
56,2.4688516224038874
57,2.520318517136554
58,2.040163685817116
59,2.1819755014192825
60,2.366416608956902
61,2.7710909410446907
62,2.952382361493651
63,2.7797826748122625
64,2.4721505268373902
65,2.7472663005481035
66,2.9042422804818298
67,3.433730960634887
68,4.151032447240664
69,4.158701878495507
70,3.3521556055648256
71,2.8703106925313957
72,3.310912113576479
73,3.5810131689428
74,4.422150241449747
75,4.742074719060235
76,4.593557778921566
77,5.17388811424596
78,5.178348989140921
79,4.93208086556531
80,4.725902089193441
81,4.486026129950541
82,4.475655347304388
83,4.4569209607772295
84,4.392567621178235
85,4.264549866351476
86,4.221449530110316
87,4.021854762767596
88,4.337077818767385
89,4.391988699287569
90,4.3474715717209875
91,3.7559384589493967
92,3.20808496542615
93,3.7711949382166474
94,3.4117838860593483
95,3.3334008037954423
96,3.175704530386197
97,3.0628798046205548
98,4.343027914120423
99,3.940822143537528
100,4.30408645689862
101,4.462404537779532
102,4.845359432486278
103,4.86311195703334
104,4.942623911262863
105,4.9273310688298535
106,4.766102109004693
107,4.824979496895844
108,4.791041179746622
109,4.936421836977262
110,4.6807717997829865
111,4.856608246151625
112,4.552949322610578
113,4.5071154201042125
114,4.377976777123181
115,4.431505694355464
116,4.497702039956372
117,4.239011043638879
118,4.565683470849658
119,4.60928302523137
120,4.376726148188029
121,4.963174073482825
122,5.028068455270822
123,4.601119950187943
124,5.025919965931304
125,4.94347121122939
126,4.110437402420657
127,3.5652237324448968
128,3.941616944375574
129,4.603583501909801
130,4.802038742476699
131,5.014385716464584
132,4.786047734897186
133,4.737889422025471
134,4.694068229781424
135,4.9183075244553995
136,4.808772494639083
137,4.869872014235907
138,4.862858810389434
139,4.838627653835118
140,4.7839491080151735
141,4.993030635880175
142,4.93948735599473
143,4.859105420377755
144,4.612673759810933
145,4.641740990652269
146,4.813135769877774
147,5.068598900894556
148,4.940176699914594
149,5.004978187328709
150,5.004479294020273
