index,solo_roll,solo_pitch,solo_tilt,solo_acc_x,solo_acc_y,solo_acc_z
1440,1.486666666666667,5.676666666666667,1.9483469496605466,1.0217945333333334,-0.2422465,-10.069498333333334
1441,0.935,6.8149999999999995,2.074769652558146,1.0023129000000002,-0.17759165,-9.775876
1442,0.8466666666666667,6.166666666666667,1.9927350151434713,0.9002095666666667,-0.2668565333333333,-9.690208
1443,1.82,5.41,1.9295399273959575,0.9766437000000001,-0.08571226000000001,-9.756552
1444,0.9966666666666667,6.38,2.0212731129652703,0.9105692666666666,-0.2783007,-9.896120999999999
1445,2.04,4.55,1.8434658538721678,0.91394965,-0.30576390000000003,-9.866318500000002
1446,0.8433333333333333,5.506666666666667,1.9094957785018067,0.9118182666666668,-0.2909493666666667,-9.735601666666666
1447,1.94,5.895,1.9823714519723623,0.8437530499999999,-0.24897704999999998,-9.6358995
1448,1.71,4.943333333333333,1.8704121339814748,0.9009207666666667,-0.3375628,-9.736431333333334
1449,2.515,5.0600000000000005,1.9165520629602923,0.861353,-0.43538255000000003,-9.933129000000001
1450,2.4266666666666667,3.8866666666666667,1.804485787191652,0.7921222,-0.3466009666666667,-9.967212666666667
1451,0.99,4.535,1.8090057268890263,0.8595458,-0.3337469,-9.9651615
1452,1.0166666666666666,4.8933333333333335,1.8438551610166485,0.8418218333333334,-0.27177973333333333,-9.853888
1453,1.9500000000000002,3.9250000000000003,1.7854927155011993,0.8209983,-0.1907912,-9.764085
1454,0.8033333333333332,4.25,1.7812093233973816,0.7612814999999999,-0.21458096666666668,-9.852666000000001
1455,0.14,4.62,1.8065957473268455,0.7727802,-0.20396225,-9.780607499999999
1456,1.2266666666666668,4.333333333333333,1.7990602720074282,0.7556087000000001,-0.12373429666666667,-9.579675666666667
1457,0.585,4.88,1.835370003185993,0.6524028,-0.1990185,-9.996180500000001
1458,0.49,4.06,1.7609810001099173,0.8259259,-0.11834353000000002,-9.861226333333333
1459,0.6950000000000001,4.45,1.7964752731896994,0.84084815,-0.1472564,-9.796240000000001
1460,0.6666666666666666,4.296666666666667,1.7827578734842007,0.8334360333333334,-0.20723466999999998,-9.968917666666666
1461,0.085,3.49,1.7129840285841311,0.56947625,-0.078088777,-9.789228999999999
1462,0.6266666666666666,3.3633333333333333,1.7165504764763426,0.6699235333333332,-0.020494340000000003,-9.793811666666668
1463,-1.105,3.71,1.7417686692282288,0.7481476499999999,0.00959507,-10.106738
1464,-0.4166666666666667,4.376666666666666,1.7878377269904508,0.8594251333333333,-0.11220314666666666,-10.046821
1465,1.055,3.27,1.7091450016102385,0.80035755,0.042357925000000005,-9.923533
1466,-1.2566666666666666,4.073333333333333,1.7748266482870747,0.5812340000000001,0.09023712333333334,-9.640229666666666
1467,0.305,3.5,1.71546832809873,0.97946395,-0.0743789,-9.999623
1468,0.9400000000000001,3.436666666666667,1.7194186264317182,0.5629304,-0.03876736,-9.867049666666666
1469,0.03,4.195,1.7682394752945072,0.748958,-0.025139172,-9.905283
1470,-0.07333333333333332,4.36,1.7849564813686907,0.43777533333333335,-0.1358166,-9.786865
1471,0.79,3.285,1.7088219286687973,0.40764314999999995,-0.047071057,-9.7546125
1472,-0.01333333333333333,2.86,1.6719586422887716,0.4962443,-0.09814571033333334,-9.875972666666666
1473,0.030000000000000006,3.435,1.709073335336548,0.4606289,0.03558246500000001,-9.771004
1474,-0.7366666666666667,2.02,1.6387454182589682,0.6877628666666666,-0.026221610000000003,-9.936497666666666
1475,0.09000000000000002,2.5599999999999996,1.6624150799625212,0.392999,-0.057559084999999996,-9.8576045
1476,0.05666666666666672,2.3533333333333335,1.6829676548002037,0.35445433333333337,-0.14707992,-10.051290666666667
1477,1.78,0.8600000000000001,1.6534664990886228,0.30990344999999997,-0.10686942500000002,-9.8604945
1478,1.5033333333333332,2.8533333333333335,1.7058841664182438,0.5897775666666667,-0.30348746666666665,-10.080607666666667
1479,1.4500000000000002,4.18,1.7949521691492478,0.7169946,-0.21827712,-9.792727
1480,1.5200000000000002,4.666666666666667,1.8348215926595088,0.7807709666666666,-0.27650256666666667,-9.883040000000001
1481,2.255,3.6500000000000004,1.7763120659175442,0.71360165,-0.3853449,-10.004307
1482,2.1199999999999997,3.8666666666666667,1.7909797088030974,0.6771959333333334,-0.22799196666666663,-9.863919000000001
1483,-0.375,4.62,1.809021239776854,0.6425923499999999,-0.3173018,-9.7478755
1484,2.4499999999999997,4.0633333333333335,1.8212468964201445,0.8212297666666667,-0.28927053333333336,-9.793888333333333
1485,1.255,4.085,1.7798244494637174,0.85784745,-0.26908160000000003,-9.844113499999999
1486,1.5333333333333332,4.776666666666666,1.8595815325431175,0.8057021666666667,-0.2539722,-9.878612666666667
1487,2.715,4.125,1.8375307048659124,0.78283565,-0.110101465,-9.7944935
1488,-1.4000000000000001,2.6,1.708914798251115,0.5159979333333333,-0.14406109666666667,-9.976285666666664
1489,1.675,2.455,1.7479417737241363,0.46668,-0.22602405000000003,-9.7104555
1490,2.5300000000000002,4.663333333333333,1.913421532056655,0.6432218666666666,-0.14453903199999998,-10.05979
1491,-0.09000000000000002,3.23,1.6987749668800305,0.8836467,-0.31156754999999997,-9.9597005
1492,1.5633333333333335,4.296666666666667,1.8036615111208032,0.7270667,-0.21407143333333334,-9.837171
1493,1.35,3.7,1.7470638712645723,0.67887655,-0.1170544,-9.7961655
1494,1.0233333333333332,4.3933333333333335,1.799854400289642,0.8082952333333333,-0.09047265333333336,-9.869320333333333
1495,-0.415,4.515000000000001,1.8012979318777766,0.96869155,-0.088487525,-9.814995
1496,-0.15000000000000005,5.159999999999999,1.8677419572338085,0.8691803333333333,-0.15080213333333334,-9.938162
1497,1.58,3.045,1.7086538350118161,0.75882535,-0.11775671000000001,-9.792851
1498,0.6533333333333333,4.056666666666666,1.7683143828470993,0.6704481000000001,-0.10723468766666666,-9.756107
1499,1.085,4.065,1.7701503573284612,0.7113732,-0.094981555,-9.842566999999999
1500,-0.12,4.053333333333334,1.756619429185875,0.7069415333333332,-0.16213511666666666,-9.920504666666666
1501,0.74,4.155,1.7708803773257031,0.6391827999999999,-0.15162009999999998,-9.8026205
1502,0.68,4.286666666666666,1.7826823401534806,0.6970845666666667,-0.020044330000000003,-10.026322666666667
1503,-0.285,4.0649999999999995,1.7587972938866159,0.7582949999999999,-0.0435591995,-9.926165999999998
