index,roll,pitch,tilt_angle_degrees
0,2.171723483446362,5.056454332673592,1.8972715246448786
1,2.062102244605191,5.418119805351716,1.9310863884682448
2,1.8188128673143875,5.834556991234239,1.9691337976869647
3,2.42710028547079,5.414266979645264,1.9472724876855096
4,2.285226687085946,5.380640905749477,1.9368072460591748
5,2.3601537936006007,4.756238264039592,1.8759681568034523
6,1.0696939751223924,5.996525229595973,1.9666921582008712
7,0.4780749670850498,5.541824171073995,1.9040677680368248
8,1.5641619709472152,5.074341770681723,1.8760681641348782
9,1.4199882075451553,5.469941899798612,1.9141496038676564
10,1.664499777979461,5.786690798499159,1.9580399696492066
11,2.2262355435565135,6.205593576971903,2.031137325832489
12,2.1073136660516565,6.712805343122244,2.0923230408208866
13,2.0668884213881564,6.0531771112662565,2.005270583969633
14,2.286502282820904,6.137820613812932,2.0254033067996033
15,2.1704996208746525,5.856292756680336,1.9859157766186968
16,2.0355244970771897,5.1220480541873625,1.898246872492777
17,2.228095640948238,4.385749838877603,1.8353182393809817
18,1.5740568965896895,4.54884299157777,1.8248676000650903
19,1.880417405195653,4.715140622465131,1.851329343060982
20,2.3578817724340895,4.96426002466208,1.8964338905403366
21,0.043792359809825335,5.829961632268866,1.935100692795288
22,2.1776017170927426,5.529371387581491,1.948427360755531
23,2.816803720727442,6.278849353205209,2.0704825693030813
24,1.4770605397379062,5.407150956211505,1.908879338013321
25,1.3952013652413529,5.329509148554823,1.8980122259256689
26,1.3096472635738001,5.688195125935161,1.9358606483543497
27,1.3264991134565423,6.148641912010604,1.9916820140268214
28,1.3538866769415643,5.610035287887806,1.9280765072323334
29,1.1399465127813946,5.288034854019592,1.8869623409683811
30,1.8276435992960838,5.320931447742992,1.9112243725042788
31,0.5452810597442463,5.309554836943754,1.8791098587720825
32,-0.5108325901194082,4.878251880968792,1.8339741943393477
33,-0.17735827558588296,4.548789963970603,1.799965678749757
34,1.038029918119798,4.588631131906756,1.8143266555247664
35,0.18023951174257322,4.1502296851175045,1.764588348716643
36,2.7557632492556396,3.6891363170870113,1.8047664252237183
37,1.6834284597626483,4.461294068649806,1.8204516816631156
38,0.32694116860282374,4.745803451727931,1.8194110395238425
39,0.6418422790685372,4.312842766513881,1.7825047756831367
40,0.312435306092993,3.9130060681546044,1.7457160441127542
41,-0.8012174645908038,3.377186377466073,1.711350367542238
42,0.039144810433239606,3.0829792102562554,1.6853684512489622
43,0.4497075030956026,3.065094904514436,1.6862949629269508
44,0.5220624199003343,3.3395246449114575,1.7049908866897283
45,1.9165161157504973,4.375363061118393,1.8212505934617838
46,2.2936176987685366,4.48210849793493,1.847036359365859
47,1.901218426751921,3.9769017222831238,1.7867176680280465
